id,code,name,material_type_ATUAL,category_ATUAL,subcategory_ATUAL,purchase_unit,usage_unit,conversion_factor,status,material_type_NOVO,category_NOVO,subcategory_NOVO,OBSERVACOES
dcd87dad-0902-4424-b5de-71082669b789,INS0118,Tomate,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
6bd88207-0c59-4e25-b4ca-3af41b9339f6,INS0116,Alho,ingredient,Insumo,condimentos_temperos,kg,unidade,1,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
86fa963c-72b5-49f7-a578-5f16b44a57d2,INS0087,Açúcar mascavo,ingredient,Insumo,acucares_adocantes,kg,g,1000,,Insumo,Alimentos & Ingredientes,Açúcares & Adoçantes,
16acd05e-973f-43b6-a18e-8da00d1f17e2,INS0113,Alho poró,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
b206c4fd-8406-4030-95dd-59816a2d2846,INS0077,Guardanapo,ingredient,Embalagem,Descartáveis,pacote,pacote,1,,Insumo,Embalagens,Descartáveis,
5b3ac853-b897-4de9-9217-0ae3ada2753b,EMB0004,Sachê de Açúcar,packaging,Produto Acabado,Outros Acabados,caixa,unidade,100,,Embalagem,Produtos Prontos,Outros Produtos,
647d009c-7eca-4629-b755-921828978b19,INS0061,Álcool,ingredient,Higiene e Limpeza,"Higiene (álcool, papel, luvas)",unidade,unidade,1,,Insumo,Higiene & Limpeza,Higiene,
4e78ddbb-9b95-460e-8f83-061cbab76fc1,INS0060,Saco de lixo,ingredient,Higiene e Limpeza,"Higiene (álcool, papel, luvas)",pacote,unidade,1,,Insumo,Higiene & Limpeza,Higiene,
d85c097a-31ea-471a-96c4-bbfedf694566,INS0080,Corante Gel,ingredient,Insumo,condimentos_temperos,unidade,g,25,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
6fa9e008-d72b-46b5-995c-38b972c472e9,INS0006,Ovo,ingredient,Insumo,Proteínas,unidade,g,50,,Insumo,Alimentos & Ingredientes,Proteínas,
c8fb0fc8-accd-458d-9e15-142690c28c38,INS0092,Água mineral sem gás ,ingredient,Insumo,bebidas_liquidos,L,mL,1000,,Insumo,Alimentos & Ingredientes,Líquidos & Bebidas Base,
98484378-98c6-4544-9efe-4e7531e99ae1,INS0088,Amido ,ingredient,Insumo,graos_cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
